Country,Year,Co2 Emissions per Capita
World,1961,3.068090418
World,1962,3.114839453
World,1963,3.221195326
World,1964,3.32404569
World,1965,3.432394516
World,1966,3.534191045
World,1967,3.585995251
World,1968,3.704543018
World,1969,3.875169073
World,1970,4.147851485
World,1971,4.23178829
World,1972,4.347295292
World,1973,4.493253113
World,1974,4.403581722
World,1975,4.342628818
World,1976,4.493090892
World,1977,4.558982918
World,1978,4.653016254
World,1979,4.696086391
World,1980,4.601081514
World,1981,4.406638284
World,1982,4.314959591
World,1983,4.286135321
World,1984,4.339077192
World,1985,4.428311744
World,1986,4.412252113
World,1987,4.461922924
World,1988,4.565402665
World,1989,4.566474137
World,1990,3.902964422
World,1991,3.874590704
World,1992,3.804011014
World,1993,3.769327631
World,1994,3.732384777
World,1995,3.781982439
World,1996,3.806694025
World,1997,3.813515227
World,1998,3.780610935
World,1999,3.747766066
World,2000,3.812649312
World,2001,3.827658881
World,2002,3.834751351
World,2003,3.958502744
World,2004,4.092251662
World,2005,4.196301213
World,2006,4.281006432
World,2007,4.39186678
World,2008,4.376917216
World,2009,4.27713137
World,2010,4.483147956
World,2011,4.570123103
World,2012,4.578768146
World,2013,4.610229279
