Country,Year,Co2 Emissions per Capita
Africa Eastern and Southern,1961,0.922473917
Africa Eastern and Southern,1962,0.930815894
Africa Eastern and Southern,1963,0.940569529
Africa Eastern and Southern,1964,0.996033447
Africa Eastern and Southern,1965,1.047279743
Africa Eastern and Southern,1966,1.033908319
Africa Eastern and Southern,1967,1.052204052
Africa Eastern and Southern,1968,1.079726652
Africa Eastern and Southern,1969,1.104631605
Africa Eastern and Southern,1970,1.123261243
Africa Eastern and Southern,1971,1.219593048
Africa Eastern and Southern,1972,1.209262779
Africa Eastern and Southern,1973,1.204522542
Africa Eastern and Southern,1974,1.186045209
Africa Eastern and Southern,1975,1.181139367
Africa Eastern and Southern,1976,1.190203366
Africa Eastern and Southern,1977,1.182217743
Africa Eastern and Southern,1978,1.169157603
Africa Eastern and Southern,1979,1.216900549
Africa Eastern and Southern,1980,1.235910896
Africa Eastern and Southern,1981,1.319763789
Africa Eastern and Southern,1982,1.367396551
Africa Eastern and Southern,1983,1.386366901
Africa Eastern and Southern,1984,1.431963637
Africa Eastern and Southern,1985,1.423144569
Africa Eastern and Southern,1986,1.4207769
Africa Eastern and Southern,1987,1.390141636
Africa Eastern and Southern,1988,1.407205363
Africa Eastern and Southern,1989,1.357143612
Africa Eastern and Southern,1990,1.017504843
Africa Eastern and Southern,1991,0.971323798
Africa Eastern and Southern,1992,0.931920141
Africa Eastern and Southern,1993,0.925464632
Africa Eastern and Southern,1994,0.918611814
Africa Eastern and Southern,1995,0.946474948
Africa Eastern and Southern,1996,0.951132322
Africa Eastern and Southern,1997,0.971562628
Africa Eastern and Southern,1998,0.969680078
Africa Eastern and Southern,1999,0.908374394
Africa Eastern and Southern,2000,0.90039915
Africa Eastern and Southern,2001,0.971980787
Africa Eastern and Southern,2002,0.975749135
Africa Eastern and Southern,2003,1.009962896
Africa Eastern and Southern,2004,1.057181535
Africa Eastern and Southern,2005,1.032998428
Africa Eastern and Southern,2006,1.023645551
Africa Eastern and Southern,2007,1.045967785
Africa Eastern and Southern,2008,1.086448849
Africa Eastern and Southern,2009,1.021953566
Africa Eastern and Southern,2010,1.048875556
Africa Eastern and Southern,2011,1.00533811
Africa Eastern and Southern,2012,1.021646329
Africa Eastern and Southern,2013,1.031833091
Africa Western and Central,1961,0.095282835
Africa Western and Central,1962,0.096612374
Africa Western and Central,1963,0.112376069
Africa Western and Central,1964,0.133258462
Africa Western and Central,1965,0.184802797
Africa Western and Central,1966,0.193675909
Africa Western and Central,1967,0.189305086
Africa Western and Central,1968,0.143988572
Africa Western and Central,1969,0.20212888
Africa Western and Central,1970,0.30264348
Africa Western and Central,1971,0.392109391
Africa Western and Central,1972,0.45999287
Africa Western and Central,1973,0.538522176
Africa Western and Central,1974,0.63596558
Africa Western and Central,1975,0.514018318
Africa Western and Central,1976,0.550024411
Africa Western and Central,1977,0.516336767
Africa Western and Central,1978,0.508535708
Africa Western and Central,1979,0.648273152
Africa Western and Central,1980,0.634540785
Africa Western and Central,1981,0.60471417
Africa Western and Central,1982,0.599648543
Africa Western and Central,1983,0.539567272
Africa Western and Central,1984,0.581373176
Africa Western and Central,1985,0.583495478
Africa Western and Central,1986,0.543987567
Africa Western and Central,1987,0.474906023
Africa Western and Central,1988,0.53496193
Africa Western and Central,1989,0.414090443
Africa Western and Central,1990,0.440470203
Africa Western and Central,1991,0.474867701
Africa Western and Central,1992,0.516676903
Africa Western and Central,1993,0.518951549
Africa Western and Central,1994,0.49285848
Africa Western and Central,1995,0.48749479
Africa Western and Central,1996,0.507633495
Africa Western and Central,1997,0.488415589
Africa Western and Central,1998,0.46162232
