Country,Year,Co2 Emissions per Capita,Rank
Africa Eastern and Southern,1961,0.922473917,7
Africa Eastern and Southern,1962,0.930815894,6
Africa Eastern and Southern,1963,0.940569529,7
Africa Eastern and Southern,1964,0.996033447,6
Africa Eastern and Southern,1965,1.047279743,6
Africa Eastern and Southern,1966,1.033908319,7
Africa Eastern and Southern,1967,1.052204052,7
Africa Eastern and Southern,1968,1.079726652,7
Africa Eastern and Southern,1969,1.104631605,7
Africa Eastern and Southern,1970,1.123261243,7
Africa Eastern and Southern,1971,1.219593048,7
Africa Eastern and Southern,1972,1.209262779,7
Africa Eastern and Southern,1973,1.204522542,7
Africa Eastern and Southern,1974,1.186045209,7
Africa Eastern and Southern,1975,1.181139367,7
Africa Eastern and Southern,1976,1.190203366,7
Africa Eastern and Southern,1977,1.182217743,7
Africa Eastern and Southern,1978,1.169157603,7
Africa Eastern and Southern,1979,1.216900549,7
Africa Eastern and Southern,1980,1.235910896,7
Africa Eastern and Southern,1981,1.319763789,7
Africa Eastern and Southern,1982,1.367396551,7
Africa Eastern and Southern,1983,1.386366901,7
Africa Eastern and Southern,1984,1.431963637,7
Africa Eastern and Southern,1985,1.423144569,7
Africa Eastern and Southern,1986,1.4207769,7
Africa Eastern and Southern,1987,1.390141636,7
Africa Eastern and Southern,1988,1.407205363,7
Africa Eastern and Southern,1989,1.357143612,7
Africa Eastern and Southern,1990,1.017504843,7
Africa Eastern and Southern,1991,0.971323798,7
Africa Eastern and Southern,1992,0.931920141,7
Africa Eastern and Southern,1993,0.925464632,7
Africa Eastern and Southern,1994,0.918611814,7
Africa Eastern and Southern,1995,0.946474948,7
Africa Eastern and Southern,1996,0.951132322,7
Africa Eastern and Southern,1997,0.971562628,7
Africa Eastern and Southern,1998,0.969680078,7
Africa Eastern and Southern,1999,0.908374394,7
Africa Eastern and Southern,2000,0.90039915,7
Africa Eastern and Southern,2001,0.971980787,7
Africa Eastern and Southern,2002,0.975749135,7
Africa Eastern and Southern,2003,1.009962896,7
Africa Eastern and Southern,2004,1.057181535,7
Africa Eastern and Southern,2005,1.032998428,7
