Region,Unit,Year (Raw),Year,Temperature Change
Africa,°C,Y1961,1961,-0.017
Africa,°C,Y1962,1962,-0.04
Africa,°C,Y1963,1963,0.064
Africa,°C,Y1964,1964,-0.153
Africa,°C,Y1965,1965,-0.197
Africa,°C,Y1966,1966,0.138
Africa,°C,Y1967,1967,-0.209
Africa,°C,Y1968,1968,-0.218
Africa,°C,Y1969,1969,0.354
Africa,°C,Y1970,1970,0.221
Africa,°C,Y1971,1971,-0.208
Africa,°C,Y1972,1972,-0.002
Africa,°C,Y1973,1973,0.377
Africa,°C,Y1974,1974,-0.237
Africa,°C,Y1975,1975,-0.23
Africa,°C,Y1976,1976,-0.26
Africa,°C,Y1977,1977,0.232
Africa,°C,Y1978,1978,0.077
Africa,°C,Y1979,1979,0.444
Africa,°C,Y1980,1980,0.366
Africa,°C,Y1981,1981,0.104
Africa,°C,Y1982,1982,0.217
Africa,°C,Y1983,1983,0.408
Africa,°C,Y1984,1984,0.333
Africa,°C,Y1985,1985,0.301
Africa,°C,Y1986,1986,0.283
Africa,°C,Y1987,1987,0.671
Africa,°C,Y1988,1988,0.608
Africa,°C,Y1989,1989,-0.019
Africa,°C,Y1990,1990,0.574
Africa,°C,Y1991,1991,0.386
Africa,°C,Y1992,1992,0.112
Africa,°C,Y1993,1993,0.407
Africa,°C,Y1994,1994,0.418
Africa,°C,Y1995,1995,0.58
Africa,°C,Y1996,1996,0.551
Africa,°C,Y1997,1997,0.588
Africa,°C,Y1998,1998,0.961
Africa,°C,Y1999,1999,0.666
Africa,°C,Y2000,2000,0.496
Africa,°C,Y2001,2001,0.677
Africa,°C,Y2002,2002,0.894
Africa,°C,Y2003,2003,0.999
Africa,°C,Y2004,2004,0.825
Africa,°C,Y2005,2005,1.1
Africa,°C,Y2006,2006,0.94
Africa,°C,Y2007,2007,0.818
Africa,°C,Y2008,2008,0.754
Africa,°C,Y2009,2009,1.011
Africa,°C,Y2010,2010,1.541
Africa,°C,Y2011,2011,0.949
Africa,°C,Y2012,2012,0.781
Africa,°C,Y2013,2013,1.014
Eastern Africa,°C,Y1961,1961,0.252
Eastern Africa,°C,Y1962,1962,-0.12
Eastern Africa,°C,Y1963,1963,-0.212
Eastern Africa,°C,Y1964,1964,-0.273
Eastern Africa,°C,Y1965,1965,-0.374
Eastern Africa,°C,Y1966,1966,0.124
Eastern Africa,°C,Y1967,1967,-0.042
Eastern Africa,°C,Y1968,1968,-0.38
Eastern Africa,°C,Y1969,1969,0.253
Eastern Africa,°C,Y1970,1970,0.26
Eastern Africa,°C,Y1971,1971,-0.238
Eastern Africa,°C,Y1972,1972,-0.025
Eastern Africa,°C,Y1973,1973,0.382
Eastern Africa,°C,Y1974,1974,-0.236
Eastern Africa,°C,Y1975,1975,-0.124
Eastern Africa,°C,Y1976,1976,-0.064
Eastern Africa,°C,Y1977,1977,0.31
Eastern Africa,°C,Y1978,1978,0.155
Eastern Africa,°C,Y1979,1979,0.174
Eastern Africa,°C,Y1980,1980,0.391
Eastern Africa,°C,Y1981,1981,0.066
Eastern Africa,°C,Y1982,1982,0.218
Eastern Africa,°C,Y1983,1983,0.612
Eastern Africa,°C,Y1984,1984,0.248
Eastern Africa,°C,Y1985,1985,0.131
Eastern Africa,°C,Y1986,1986,0.12
Eastern Africa,°C,Y1987,1987,0.658
Eastern Africa,°C,Y1988,1988,0.667
Eastern Africa,°C,Y1989,1989,0.033
Eastern Africa,°C,Y1990,1990,0.372
Eastern Africa,°C,Y1991,1991,0.315
Eastern Africa,°C,Y1992,1992,0.492
Eastern Africa,°C,Y1993,1993,0.182
Eastern Africa,°C,Y1994,1994,0.393
Eastern Africa,°C,Y1995,1995,0.607
Eastern Africa,°C,Y1996,1996,0.461
Eastern Africa,°C,Y1997,1997,0.543
Eastern Africa,°C,Y1998,1998,0.741
Eastern Africa,°C,Y1999,1999,0.268
Eastern Africa,°C,Y2000,2000,0.432
Eastern Africa,°C,Y2001,2001,0.547
Eastern Africa,°C,Y2002,2002,0.772
Eastern Africa,°C,Y2003,2003,0.874
Eastern Africa,°C,Y2004,2004,0.596
Eastern Africa,°C,Y2005,2005,1.051
Eastern Africa,°C,Y2006,2006,0.792
Eastern Africa,°C,Y2007,2007,0.76
Eastern Africa,°C,Y2008,2008,0.613
Eastern Africa,°C,Y2009,2009,0.986
Eastern Africa,°C,Y2010,2010,1.233
Eastern Africa,°C,Y2011,2011,0.983
Eastern Africa,°C,Y2012,2012,0.99
Eastern Africa,°C,Y2013,2013,0.96
Middle Africa,°C,Y1961,1961,-0.1
Middle Africa,°C,Y1962,1962,-0.176
Middle Africa,°C,Y1963,1963,0.038
Middle Africa,°C,Y1964,1964,-0.16
Middle Africa,°C,Y1965,1965,-0.154
Middle Africa,°C,Y1966,1966,0.088
Middle Africa,°C,Y1967,1967,-0.172
Middle Africa,°C,Y1968,1968,-0.16
Middle Africa,°C,Y1969,1969,0.231
Middle Africa,°C,Y1970,1970,0.21
Middle Africa,°C,Y1971,1971,-0.141
Middle Africa,°C,Y1972,1972,0.059
Middle Africa,°C,Y1973,1973,0.523
Middle Africa,°C,Y1974,1974,-0.09
Middle Africa,°C,Y1975,1975,-0.107
Middle Africa,°C,Y1976,1976,-0.133
Middle Africa,°C,Y1977,1977,0.195
Middle Africa,°C,Y1978,1978,0.045
Middle Africa,°C,Y1979,1979,0.382
Middle Africa,°C,Y1980,1980,0.314
Middle Africa,°C,Y1981,1981,0.033
Middle Africa,°C,Y1982,1982,0.124
Middle Africa,°C,Y1983,1983,0.3
Middle Africa,°C,Y1984,1984,0.304
Middle Africa,°C,Y1985,1985,0.203
Middle Africa,°C,Y1986,1986,0.277
Middle Africa,°C,Y1987,1987,0.467
Middle Africa,°C,Y1988,1988,0.334
Middle Africa,°C,Y1989,1989,-0.203
Middle Africa,°C,Y1990,1990,0.334
Middle Africa,°C,Y1991,1991,0.317
Middle Africa,°C,Y1992,1992,-0.183
Middle Africa,°C,Y1993,1993,0.178
Middle Africa,°C,Y1994,1994,0.324
